sample_ID,original_ID,sample_type,dna_conc,product_conc,site,sampling_date,sampling_time,sampling_day,dna_extracted,depth,fcm_label,fcm_Prochlorococcus,fcm_Synechococcus,fcm_Picoeukaryotes,fcm_Unpigmented_cells,doc_label,metab_spe_label,metab_deriv_label
Metab_282,282,seawater,11.6,34.2,LB_seagrass,20210125,peak_photo,Day4,20240722,3.6,300,14444,68110,1707,7.02E+05,86,184,Deriv_100
Metab_283,283,seawater,8.36,26.2,Tektite,20210124,peak_photo,Day3,20240722,7.3,293,19145,61190,1077,5.66E+05,60,162,Deriv_68
Metab_284,284,seawater,8.58,19.1,Yawzi,20210124,dawn,Day3,20240724,8.8,246,27207,74924,1668,6.57E+05,50,154,Deriv_53
Metab_285,285,seawater,15.7,41,Yawzi,20210125,peak_photo,Day4,20240722,8.5,310,17109,61019,1576,6.37E+05,82,179,Deriv_96
Metab_286,286,seawater,6.08,27,LB_seagrass,20210124,peak_photo,Day3,20240718,3.5,255,3033,26669,1733,5.15E+05,65,169,Deriv_70
Metab_287,287,seawater,4.28,21.8,LB_seagrass,20210124,dawn,Day3,20240723,3.4,243,3611,25960,3033,3.60E+05,57,158,Deriv_54
Metab_289,289,seawater,6.38,32.8,LB_seagrass,20210124,peak_photo,Day3,20240722,3.5,258,4018,31908,1615,5.35E+05,67,167,Deriv_74
Metab_290,290,seawater,12.2,22,Tektite,20210124,dawn,Day3,20240724,6.6,252,24804,64774,1458,5.33E+05,54,156,Deriv_56
Metab_292,292,seawater,17.3,33.6,Yawzi,20210124,dawn,Day3,20240724,8.8,249,26944,73953,1825,6.36E+05,52,155,Deriv_61
Metab_295,295,seawater,12.2,31.2,Yawzi,20210124,dawn,Day3,20240723,8.8,248,28454,73848,1628,6.43E+05,51,159,Deriv_55
Metab_303,303,seawater,11.8,21.6,Yawzi,20210126,dawn,Day5,20240712,8.3,357,28862,68530,1431,6.43E+05,88,193,Deriv_107
Metab_306,306,seawater,15.7,29.2,Yawzi,20210126,dawn,Day5,20240712,8.3,360,,,,,90,188,Deriv_111
Metab_308,308,seawater,8.18,18.6,Yawzi,20210126,peak_photo,Day5,20240711,8.8,330,18593,57762,1497,5.91E+05,104,198,Deriv_113
Metab_309,309,seawater,8.6,17.1,LB_seagrass,20210126,dawn,Day5,20240712,3.7,356,10977,54230,2784,7.35E+05,92,195,Deriv_109
Metab_311,311,seawater,8.68,44,Tektite,20210126,peak_photo,Day5,20240711,9.2,336,17398,39708,959,4.59E+05,100,205,Deriv_115
Metab_312,312,seawater,12.1,27.8,Tektite,20210126,dawn,Day5,20240712,9.4,335,25040,45616,1142,4.62E+05,94,191,Deriv_101
Metab_313,313,seawater,16.5,29.4,Yawzi,20210125,dawn,Day4,20240723,8.4,352,25500,66705,1865,6.31E+05,73,172,Deriv_80
Metab_314,314,seawater,9.2,25.8,Tektite,20210126,peak_photo,Day5,20240711,9.2,345,25040,37528,1011,4.62E+05,101,199,Deriv_116
Metab_315,315,seawater,14.3,28.8,Tektite,20210126,dawn,Day5,20240712,9.4,344,32709,56896,1497,6.04E+05,96,196,Deriv_108
Metab_316,316,seawater,12.8,32,Tektite,20210125,dawn,Day4,20240723,9.6,305,29715,56594,1458,5.30E+05,71,178,Deriv_84
Metab_317,317,seawater,12,30,Yawzi,20210126,peak_photo,Day5,20240711,8.8,333,20773,60428,1392,6.18E+05,103,201,Deriv_114
Metab_318,318,seawater,10.8,33.6,LB_seagrass,20210126,dawn,Day5,20240712,3.7,364,10505,58629,2272,6.87E+05,93,194,Deriv_110
Metab_319,319,seawater,13.8,43.6,Tektite,20210125,dawn,Day4,20240723,9.6,358,30214,58590,1497,5.51E+05,69,174,Deriv_81
Metab_320,320,seawater,9.92,33.6,Tektite,20210126,peak_photo,Day5,20240711,9.2,339,22874,42688,972,4.74E+05,102,204,Deriv_112
Metab_321,321,seawater,9.78,40,Tektite,20210126,dawn,Day5,20240712,9.4,338,33470,54900,1247,5.10E+05,95,190,"Deriv_104*, Deriv_105, Deriv_106"
Metab_322,322,seawater,10.1,21.6,Tektite,20210125,dawn,Day4,20240722,9.6,302,31514,56922,1694,5.11E+05,70,171,Deriv_75
Metab_323,323,seawater,20.8,39.6,Yawzi,20210126,peak_photo,Day5,20240724,8.8,348,21902,61465,1536,6.60E+05,105,202,Deriv_118
Metab_324,324,seawater,17.1,25.2,LB_seagrass,20210126,dawn,Day5,20240712,3.7,359,11082,56870,2547,7.56E+05,91,192,Deriv_103
Metab_325,325,seawater,13,20.6,Yawzi,20210125,dawn,Day4,20240722,8.4,355,25132,68070,1681,6.20E+05,74,177,Deriv_86
Metab_326,326,seawater,10.3,28.8,LB_seagrass,20210126,peak_photo,Day5,20240711,3.6,351,13590,59207,2206,7.56E+05,99,197,Deriv_117
Metab_327,327,seawater,13.7,34,Yawzi,20210126,dawn,Day5,20240712,8.3,361,30779,72128,1563,6.09E+05,87,189,Deriv_102
Metab_328,328,seawater,7.58,26.8,LB_seagrass,20210125,dawn,Day4,20240722,3.8,343,14024,65339,3467,7.16E+05,77,170,"Deriv_87, Deriv_88, Deriv_89*"
Metab_329,329,seawater,12.5,30.2,LB_seagrass,20210126,peak_photo,Day5,20240711,3.6,342,14405,59653,1694,7.61E+05,98,200,Deriv_119
Metab_331,331,seawater,15.9,37.2,Yawzi,20210125,dawn,Day4,20240723,8.4,349,23570,63684,1471,6.09E+05,72,176,Deriv_82
Metab_332,332,seawater,18.6,27.6,LB_seagrass,20210126,peak_photo,Day5,20240711,3.6,354,13052,59850,1497,7.45E+05,97,203,DerIv_120
Metab_334,334,seawater,7.12,25.2,LB_seagrass,20210125,dawn,Day4,20240723,3.8,340,8732,47691,3427,6.44E+05,75,175,Deriv_83
Metab_337,337,seawater,9.34,33.4,LB_seagrass,20210125,dawn,Day4,20240723,3.8,346,9192,46759,3165,6.29E+05,76,173,Deriv_85
pcr_control_01_29_cyc,(-) 29,pcr_control_01_29_cyc,,1.25,,,,,,,,,,,,,,
pcr_control_02_30_cyc,(-) 30 PCR2,pcr_control_02_30_cyc,,0.682,,,,,,,,,,,,,,
pcr_control_03_30_cyc,(-) 30 PCR3,pcr_control_03_30_cyc,,0.55,,,,,,,,,,,,,,
pcr_control_04_32_cyc,(-) 32,pcr_control_04_32_cyc,,1.28,,,,,,,,,,,,,,
